Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature,Post weld heat treatment temperature,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature,Charpy impact toughness / J,Electrode Positive,Electrode Negative,Type of weld_FCA,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_TSA,Group_Alekseev&,Group_Birmingham,Group_Blond&,Group_Chandel&,Group_Cunh,Group_Ditt,Group_EPRI,Group_Es,Group_EvHtIp1979,Group_Evans,Group_EvansLetter,Group_Ga&K,Group_Gar&K,Group_Hunt&,Group_Icici&,Group_Inag&,Group_JorgeEtAl,Group_Kik,Group_Kluket,Group_KocakPEv,Group_KocakPREv,Group_Mart,Group_Natsume,Group_PakSven,Group_PantK,Group_Pat,Group_RC81033,Group_RaiterGonzal,Group_Stil,Group_SurianEtAl,Group_SvenGret,Group_Sw&Rog,Group_Wats,Group_p-RR82011
-1.612393832700707,-0.254200346497623,-1.4470950728412924,-0.1338261609501408,-0.04462574030741063,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-0.19078032357595498,1.4769847911838287,392.0,466.0,31.9,80.6,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.612393832700707,-0.254200346497623,-1.4470950728412924,-0.1338261609501408,-0.04462574030741063,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-1.0700504314518786,-0.8271147507240032,,,,,-28.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.612393832700707,-0.254200346497623,-1.4470950728412924,-0.1338261609501408,-0.04462574030741063,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,0.9698562188202643,-0.49795767330859864,370.0,456.0,35.2,80.6,-38.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.612393832700707,-0.1652490708327061,-0.4523855674136488,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-0.19078032357595498,1.4769847911838287,413.0,498.0,31.2,80.6,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.612393832700707,-0.1652490708327061,-0.4523855674136488,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-1.0700504314518786,-0.8271147507240032,,,,,-48.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.612393832700707,-0.1652490708327061,-0.4523855674136488,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,0.9698562188202643,-0.49795767330859864,402.0,490.0,31.0,80.6,-44.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3193948575468908,0.19055603182696104,0.5946770698786071,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-0.19078032357595498,1.4769847911838287,468.0,551.0,29.4,78.7,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3193948575468908,0.19055603182696104,0.5946770698786071,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-1.0700504314518786,-0.8271147507240032,,,,,-53.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3193948575468908,0.19055603182696104,0.5946770698786071,-0.22293572076055287,0.05748190926023787,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,0.9698562188202643,-0.49795767330859864,436.0,529.0,31.6,78.8,-58.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.2775378610963455,0.012653480497127712,1.6940928390354766,-0.22293572076055287,0.15958955882788636,-0.31815521608147473,-0.42745181015783823,-0.5635504743627413,-0.21053507637210378,-0.28970543996702236,-0.05466598068318548,-0.05731610518205405,-1.4718089227888351,-0.5332045350476627,-0.8784870541578019,-0.46640212385463764,-0.28087116405344364,-0.3583807348142746,-0.18274102439687231,-0.22411680566640596,-0.2562598019089032,-0.5314482730945775,-0.4755243031590946,0.16151457061744992,-0.5400214989042548,-0.10714765849000296,-0.19078032357595498,1.4769847911838287,514.0,588.0,28.0,76.8,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
