,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale
967,0.086,0.28,1.68,0.023,0.02,,,0.01,0.01,0.23,,,487.0,,77.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-40.0,51.0,,,Pat-1981-S4/BX200,,
968,0.086,0.28,1.68,0.023,0.02,,,0.01,0.01,0.23,,,487.0,,77.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-20.0,79.0,,,Pat-1981-S4/BX200,,
969,0.086,0.28,1.68,0.023,0.02,,,0.01,0.01,0.23,,,487.0,,77.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,0.0,102.0,,,Pat-1981-S4/BX200,,
970,0.089,0.42,2.22,0.022,0.025,,,0.02,0.01,0.06,,,466.0,,82.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,517.0,672.0,24.0,56.0,,,203.0,,Pat-1981-S6/BX200,,30.0
971,0.089,0.42,2.22,0.022,0.025,,,0.02,0.01,0.06,,,466.0,,82.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-60.0,16.0,,,Pat-1981-S6/BX200,,
972,0.089,0.42,2.22,0.022,0.025,,,0.02,0.01,0.06,,,466.0,,82.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-40.0,21.0,,,Pat-1981-S6/BX200,,
973,0.089,0.42,2.22,0.022,0.025,,,0.02,0.01,0.06,,,466.0,,82.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-20.0,30.0,,,Pat-1981-S6/BX200,,
974,0.089,0.42,2.22,0.022,0.025,,,0.02,0.01,0.06,,,466.0,,82.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,0.0,43.0,,,Pat-1981-S6/BX200,,
975,0.08,0.24,1.34,0.023,0.02,,,0.43,0.01,0.15,,,575.0,,86.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,554.0,554.0,30.0,67.0,,,157.0,,Pat-1981-S2Mo/BX200,,30.0
976,0.08,0.24,1.34,0.023,0.02,,,0.43,0.01,0.15,,,575.0,,86.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-60.0,16.0,,,Pat-1981-S2Mo/BX200,,
977,0.08,0.24,1.34,0.023,0.02,,,0.43,0.01,0.15,,,575.0,,86.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-40.0,37.0,,,Pat-1981-S2Mo/BX200,,
978,0.08,0.24,1.34,0.023,0.02,,,0.43,0.01,0.15,,,575.0,,86.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-20.0,67.0,,,Pat-1981-S2Mo/BX200,,
979,0.08,0.24,1.34,0.023,0.02,,,0.43,0.01,0.15,,,575.0,,86.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,0.0,92.0,,,Pat-1981-S2Mo/BX200,,
980,0.095,0.45,1.88,0.02,0.022,,,0.44,0.01,0.26,,,425.0,,84.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,747.0,747.0,25.0,62.0,,,174.0,,Pat-1981-S4Mo/BX200,,30.0
981,0.095,0.45,1.88,0.02,0.022,,,0.44,0.01,0.26,,,425.0,,84.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-60.0,10.0,,,Pat-1981-S4Mo/BX200,,
982,0.095,0.45,1.88,0.02,0.022,,,0.44,0.01,0.26,,,425.0,,84.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-40.0,17.0,,,Pat-1981-S4Mo/BX200,,
983,0.095,0.45,1.88,0.02,0.022,,,0.44,0.01,0.26,,,425.0,,84.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,-20.0,32.0,,,Pat-1981-S4Mo/BX200,,
984,0.095,0.45,1.88,0.02,0.022,,,0.44,0.01,0.26,,,425.0,,84.0,,,,,,,625.0,75.36,DC,+,4.6,200,TSA,0.0,0.0,,,,,0.0,41.0,,,Pat-1981-S4Mo/BX200,,
985,0.074,0.16,0.84,0.015,0.026,,,0.02,0.004,0.28,,,415.0,,84.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,352.0,459.0,36.0,72.0,,,144.0,,Pat-1981-RE2L/BX400,,30.0
986,0.074,0.16,0.84,0.015,0.026,,,0.02,0.004,0.28,,,415.0,,84.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,95.0,,,Pat-1981-RE2L/BX400,,
987,0.074,0.16,0.84,0.015,0.026,,,0.02,0.004,0.28,,,415.0,,84.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-40.0,139.0,,,Pat-1981-RE2L/BX400,,
988,0.074,0.16,0.84,0.015,0.026,,,0.02,0.004,0.28,,,415.0,,84.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,148.0,,,Pat-1981-RE2L/BX400,,
989,0.074,0.16,0.84,0.015,0.026,,,0.02,0.004,0.28,,,415.0,,84.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,150.0,,,Pat-1981-RE2L/BX400,,
990,0.082,0.18,0.75,0.014,0.02,,,0.02,0.005,0.22,,,381.0,,109.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,349.0,456.0,36.0,72.0,,,144.0,,Pat-1981-S2/BX400,,30.0
991,0.082,0.18,0.75,0.014,0.02,,,0.02,0.005,0.22,,,381.0,,109.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,67.0,,,Pat-1981-S2/BX400,,
992,0.082,0.18,0.75,0.014,0.02,,,0.02,0.005,0.22,,,381.0,,109.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-50.0,117.0,,,Pat-1981-S2/BX400,,
993,0.082,0.18,0.75,0.014,0.02,,,0.02,0.005,0.22,,,381.0,,109.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,134.0,,,Pat-1981-S2/BX400,,
994,0.082,0.18,0.75,0.014,0.02,,,0.02,0.005,0.22,,,381.0,,109.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,155.0,,,Pat-1981-S2/BX400,,
995,0.07,0.16,1.17,0.013,0.02,,,0.02,0.01,0.26,,,368.0,,108.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,350.0,462.0,24.0,76.0,,,143.0,,Pat-1981-RE3L/BX400,,30.0
996,0.07,0.16,1.17,0.013,0.02,,,0.02,0.01,0.26,,,368.0,,108.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,110.0,,,Pat-1981-RE3L/BX400,,
997,0.07,0.16,1.17,0.013,0.02,,,0.02,0.01,0.26,,,368.0,,108.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-40.0,145.0,,,Pat-1981-RE3L/BX400,,
998,0.07,0.16,1.17,0.013,0.02,,,0.02,0.01,0.26,,,368.0,,108.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,168.0,,,Pat-1981-RE3L/BX400,,
999,0.07,0.16,1.17,0.013,0.02,,,0.02,0.01,0.26,,,368.0,,108.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,180.0,,,Pat-1981-RE3L/BX400,,
1000,0.11,0.16,1.09,0.012,0.018,,,0.03,0.01,0.24,,,353.0,,78.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,376.0,484.0,32.0,74.0,,,154.0,,Pat-1981-WB3/BX400,,30.0
1001,0.11,0.16,1.09,0.012,0.018,,,0.03,0.01,0.24,,,353.0,,78.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,15.0,,,Pat-1981-WB3/BX400,,
1002,0.11,0.16,1.09,0.012,0.018,,,0.03,0.01,0.24,,,353.0,,78.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,22.0,,,Pat-1981-WB3/BX400,,
1003,0.11,0.16,1.09,0.012,0.018,,,0.03,0.01,0.24,,,353.0,,78.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,134.0,,,Pat-1981-WB3/BX400,,
1004,0.11,0.16,1.09,0.012,0.018,,,0.03,0.01,0.24,,,353.0,,78.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,138.0,,,Pat-1981-WB3/BX400,,
1005,0.098,0.18,1.29,0.017,0.017,,,0.01,0.01,0.21,,,337.0,,61.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,359.0,503.0,28.0,72.0,,,154.0,,Pat-1981-S4/BX400,,30.0
1006,0.098,0.18,1.29,0.017,0.017,,,0.01,0.01,0.21,,,337.0,,61.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,59.0,,,Pat-1981-S4/BX400,,
1007,0.098,0.18,1.29,0.017,0.017,,,0.01,0.01,0.21,,,337.0,,61.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-40.0,95.0,,,Pat-1981-S4/BX400,,
1008,0.098,0.18,1.29,0.017,0.017,,,0.01,0.01,0.21,,,337.0,,61.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,128.0,,,Pat-1981-S4/BX400,,
1009,0.098,0.18,1.29,0.017,0.017,,,0.01,0.01,0.21,,,337.0,,61.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,144.0,,,Pat-1981-S4/BX400,,
1010,0.1,0.24,1.91,0.016,0.016,,,0.02,0.01,0.05,,,228.0,,74.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,376.0,553.0,33.0,70.0,,,170.0,,Pat-1981-S6/BX400,,30.0
1011,0.1,0.24,1.91,0.016,0.016,,,0.02,0.01,0.05,,,228.0,,74.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,30.0,,,Pat-1981-S6/BX400,,
1012,0.1,0.24,1.91,0.016,0.016,,,0.02,0.01,0.05,,,228.0,,74.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-40.0,78.0,,,Pat-1981-S6/BX400,,
1013,0.1,0.24,1.91,0.016,0.016,,,0.02,0.01,0.05,,,228.0,,74.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,91.0,,,Pat-1981-S6/BX400,,
1014,0.1,0.24,1.91,0.016,0.016,,,0.02,0.01,0.05,,,228.0,,74.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,122.0,,,Pat-1981-S6/BX400,,
1015,0.096,0.13,0.73,0.018,0.022,,,0.43,0.01,0.14,,,373.0,,81.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,353.0,491.0,32.0,67.0,,,157.0,,Pat-1981-S2Mo/BX400,,30.0
1016,0.096,0.13,0.73,0.018,0.022,,,0.43,0.01,0.14,,,373.0,,81.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,14.0,,,Pat-1981-S2Mo/BX400,,
1017,0.096,0.13,0.73,0.018,0.022,,,0.43,0.01,0.14,,,373.0,,81.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-40.0,72.0,,,Pat-1981-S2Mo/BX400,,
1018,0.096,0.13,0.73,0.018,0.022,,,0.43,0.01,0.14,,,373.0,,81.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,111.0,,,Pat-1981-S2Mo/BX400,,
