,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID
16,0.059,0.46,1.25,0.009,0.015,0.01,0.06,1.0691428571428574,0.013,788.0,410.0,57.0,440.0,19.0,60.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,535.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-17
17,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,440.0,540.0,24.0,67.0,-5.873015873015873,66.66666666666667,Mart-A
18,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-80.0,9.0,Mart-Aa
19,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,9.0,Mart-Ab
20,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,9.0,Mart-Ac
21,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-40.0,19.0,Mart-Ad
22,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-30.0,28.0,Mart-Ae
23,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,43.0,Mart-Af
24,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,117.0,Mart-Ag
25,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,179.0,Mart-Ah
26,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,40.0,204.0,Mart-Ai
27,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,60.0,210.0,Mart-Aj
28,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,212.35294117647058,97.0,164.7058823529412,7.470588235294118,45.294117647058826,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,70.0,210.0,Mart-Ak
29,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,506.0,598.0,22.0,70.0,-5.873015873015873,66.66666666666667,Mart-B
30,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,6.0,Mart-Ba
31,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,6.0,Mart-Bs
32,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-40.0,15.0,Mart-Bc
33,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,68.0,Mart-Bd
34,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,120.0,Mart-Be
35,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,151.0,Mart-Bf
36,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,40.0,160.0,Mart-Bg
