,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID
0,0.11,0.3,0.44,0.004,0.011,0.08,8.58,1.0,0.22,0.05,0.02,0.1,20.0,340.0,0.004,10.0,20.0,50.0,275.0,28.5,DC,+,1.2,177,GMAA,746.0,4.0,605.0,726.0,20.0,68.0,EPRI-TR-101394s-E9GM2
1,0.11,0.3,0.44,0.004,0.011,0.08,8.58,1.0,0.22,0.05,0.02,0.1,20.0,340.0,0.004,10.0,20.0,50.0,275.0,28.5,DC,+,1.2,177,GMAA,746.0,4.0,603.0,726.0,20.0,66.0,EPRI-TR-101394s-E9GM2
2,0.12,0.24,0.53,0.001,0.01,0.13,8.61,1.03,0.2,0.09,0.016,0.1,20.0,430.0,0.013,10.0,30.0,50.0,285.0,28.5,DC,+,1.3,177,GMAA,746.0,4.0,654.0,767.0,20.0,62.0,EPRI-TR-101394s-E9GM3
3,0.12,0.24,0.53,0.001,0.01,0.13,8.61,1.03,0.2,0.09,0.016,0.1,20.0,430.0,0.013,10.0,30.0,50.0,285.0,28.5,DC,+,1.3,177,GMAA,746.0,4.0,661.0,772.0,19.0,62.0,EPRI-TR-101394s-E9GM3
