,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative
0,0.09,0.34,0.48,0.004,0.011,0.08,8.6,0.98,0.22,0.05,0.02,0.1,20.0,260.0,0.005,10.0,30.0,50.0,390.0,11.5,1.0,1.9,177,GTAA,746.0,4.0,647.0,747.0,20.0,68.0,EPRI-TR-101394s-E9GT3,1,0
1,0.09,0.34,0.48,0.004,0.011,0.08,8.6,0.98,0.22,0.05,0.02,0.1,20.0,260.0,0.005,10.0,30.0,50.0,390.0,11.5,1.0,1.9,177,GTAA,746.0,4.0,661.0,756.0,24.0,73.0,EPRI-TR-101394s-E9GT3,1,0
2,0.081,0.34,0.49,0.004,0.012,0.08,8.57,0.98,0.22,0.05,0.021,0.1,20.0,240.0,0.004,10.0,30.0,60.0,300.0,12.5,1.0,1.4,177,GTAA,746.0,1.0,682.0,783.0,26.0,74.0,EPRI-TR-101394s-E9GT4,1,0
3,0.081,0.34,0.49,0.004,0.012,0.08,8.57,0.98,0.22,0.05,0.021,0.1,20.0,240.0,0.004,10.0,30.0,60.0,300.0,12.5,1.0,1.4,177,GTAA,746.0,1.0,728.0,817.0,21.0,73.0,EPRI-TR-101394s-E9GT4,1,0
