Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.04,0.24,0.84,0.009,0.01,2.2,,,,0.13,,,300.0,150.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,481.0,616.0,23.0,69.0,,,,,Alekseev&-CMnNi-1991-CH1,,,0,1,Alekseev&
0.04,0.22,0.81,0.009,0.011,2.19,,,,0.29,,,300.0,120.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,471.0,596.0,23.0,66.0,,,,,Alekseev&-CMnNi-1991-CH2,,,0,1,Alekseev&
0.04,0.23,0.83,0.01,0.011,2.19,,,,0.45,,,280.0,140.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,498.0,599.0,24.0,65.0,,,,,Alekseev&-CMnNi-1991-CH3,,,0,1,Alekseev&
0.04,0.24,0.82,0.009,0.01,2.2,,,,0.62,,,300.0,150.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,525.0,623.0,21.0,65.0,,,,,Alekseev&-CMnNi-1991-CH4,,,0,1,Alekseev&
0.04,0.23,0.83,0.01,0.011,2.21,,,,0.79,,,320.0,140.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,536.0,635.0,23.0,65.0,,,,,Alekseev&-CMnNi-1991-CH5,,,0,1,Alekseev&
0.04,0.23,0.83,0.01,0.011,2.21,,,,1.01,,,320.0,130.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,566.0,674.0,21.0,62.0,,,,,Alekseev&-CMnNi-1991-CH6,,,0,1,Alekseev&
0.04,0.2,0.8,0.01,0.011,2.2,,,,1.2,,,370.0,140.0,,,,,,,,165.0,25.0,1.0,1.0,200,MMA,0.0,0.0,573.0,690.0,21.0,62.0,,,,,Alekseev&-CMnNi-1991-CH7,,,0,1,Alekseev&
