Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.075,0.3,0.63,0.008,0.008,0.0,0.0,1.03,0.0005,0.0,,,438.0,5.0,80.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,7.0,100.0,,,EvansLetter-Ao+1Moch1,,,0,0,EvansLetter
0.075,0.3,0.63,0.008,0.008,0.0,0.0,1.03,0.0005,0.0,,,438.0,5.0,80.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-57.0,28.0,,,EvansLetter-Ao+1Moch2,,,0,0,EvansLetter
0.07,0.35,0.65,0.008,0.01,0.0,1.01,0.0,0.0005,0.0,,,504.0,5.0,78.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,481.0,559.0,22.0,75.0,,,,,EvansLetter-Ao+1Cr,,,0,0,EvansLetter
0.07,0.35,0.65,0.008,0.01,0.0,1.01,0.0,0.0005,0.0,,,504.0,5.0,78.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-40.0,100.0,,,EvansLetter-Ao+1Crch1,,,0,0,EvansLetter
0.07,0.35,0.65,0.008,0.01,0.0,1.01,0.0,0.0005,0.0,,,504.0,5.0,78.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-68.0,28.0,,,EvansLetter-Ao+1Crch2,,,0,0,EvansLetter
0.074,0.25,0.58,0.008,0.01,0.0,1.59,0.0,0.0005,0.0,,,500.0,4.0,89.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,494.0,593.0,19.0,71.9,,,,,EvansLetter-Ao+1.5Cr,,,0,0,EvansLetter
0.074,0.25,0.58,0.008,0.01,0.0,1.59,0.0,0.0005,0.0,,,500.0,4.0,89.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-22.0,100.0,,,EvansLetter-Ao+1.5Crch1,,,0,0,EvansLetter
0.074,0.25,0.58,0.008,0.01,0.0,1.59,0.0,0.0005,0.0,,,500.0,4.0,89.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-48.0,28.0,,,EvansLetter-Ao+1.5Crch2,,,0,0,EvansLetter
0.076,0.28,0.64,0.008,0.008,0.0,2.1,0.0,0.0005,0.0,,,492.0,8.0,81.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,565.0,660.0,,68.6,,,,,EvansLetter-Ao+2Cr,,,0,0,EvansLetter
0.076,0.28,0.64,0.008,0.008,0.0,2.1,0.0,0.0005,0.0,,,492.0,8.0,81.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,26.0,100.0,,,EvansLetter-Ao+2Crch1,,,0,0,EvansLetter
