Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,492.0,610.0,27.0,,,,,,Chandel&-1985W1,,,1,0,Chandel&
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,24.0,193.0,,,Chandel&-1985W1ch1,,,1,0,Chandel&
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,0.0,164.0,,,Chandel&-1985W1ch2,,,1,0,Chandel&
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,-20.0,147.0,,,Chandel&-1985W1ch3,,,1,0,Chandel&
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,-40.0,72.0,,,Chandel&-1985W1ch4,,,1,0,Chandel&
0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,,,,,260.0,,,200.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,-60.0,15.0,,,Chandel&-1985W1ch5,,,1,0,Chandel&
0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,,,,,850.0,,,150.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,469.0,592.0,27.0,,,,,,Chandel&-1985W2,,,1,0,Chandel&
0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,,,,,850.0,,,150.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,22.0,96.0,,,Chandel&-1985W2ch1,,,1,0,Chandel&
0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,,,,,850.0,,,150.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,0.0,68.0,,,Chandel&-1985W2ch2,,,1,0,Chandel&
0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,,,,,850.0,,,150.0,,,,,,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,,,,,-20.0,38.0,,,Chandel&-1985W2ch3,,,1,0,Chandel&
