Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.042,0.28,1.37,0.007,0.012,,,,,,,,,,,,,,,,,,,1.0,2.2,200,MMA,0.0,0.0,,,,,-57.0,100.0,,,EvHtIp1979-2.2CC,,,1,0,EvHtIp1979
0.045,0.26,1.69,0.007,0.012,,,,,,,,,,,,,,,,,,,1.0,2.2,200,MMA,250.0,14.0,456.0,548.0,32.0,78.8,,,,,EvHtIp1979-2.2D,,,1,0,EvHtIp1979
0.045,0.26,1.69,0.007,0.012,,,,,,,,,,,,,,,,,,,1.0,2.2,200,MMA,0.0,0.0,,,,,-37.0,100.0,,,EvHtIp1979-2.2DC,,,1,0,EvHtIp1979
0.043,0.2,0.52,0.009,0.01,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,250.0,14.0,341.0,453.0,32.6,78.8,,,,,EvHtIp1979-4.3A,,,1,0,EvHtIp1979
0.043,0.2,0.52,0.009,0.01,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,0.0,0.0,,,,,-15.0,100.0,,,EvHtIp1979-4.3AC,,,1,0,EvHtIp1979
0.042,0.2,0.93,0.008,0.011,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,250.0,14.0,376.0,484.0,32.6,78.8,,,,,EvHtIp1979-4.3B,,,1,0,EvHtIp1979
0.042,0.2,0.93,0.008,0.011,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,0.0,0.0,,,,,-27.0,100.0,,,EvHtIp1979-4.3BC,,,1,0,EvHtIp1979
0.043,0.24,1.37,0.008,0.013,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,250.0,14.0,405.0,500.0,31.8,80.6,,,,,EvHtIp1979-4.3C,,,1,0,EvHtIp1979
0.043,0.24,1.37,0.008,0.013,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,0.0,0.0,,,,,-27.0,100.0,,,EvHtIp1979-4.3CC,,,1,0,EvHtIp1979
0.047,0.25,1.73,0.007,0.014,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,250.0,14.0,437.0,541.0,30.0,78.8,,,,,EvHtIp1979-4.3D,,,1,0,EvHtIp1979
0.047,0.25,1.73,0.007,0.014,,,,,,,,,,,,,,,,,,,1.0,4.3,200,MMA,0.0,0.0,,,,,-5.0,100.0,,,EvHtIp1979-4.3DC,,,1,0,EvHtIp1979
