,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
18,0.1,0.38,1.58,0.013,0.016,0.046,0.053,0.006,0.032,0.12,421.6666666666667,60.0,106.33333333333333,180.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,540.0,681.0333333333333,30.0,60.0,Gar&K-1975-25mm-10aw,1,0,Gar&K
19,0.1,0.38,1.58,0.013,0.016,0.046,0.053,0.006,0.032,0.12,421.6666666666667,60.0,106.33333333333333,180.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,580.0,681.0333333333333,30.0,66.0,Gar&K-1975-25mm-10ht,1,0,Gar&K
20,0.12,0.3,1.51,0.006,0.013,0.09,0.07,0.27,0.036,0.15,421.6666666666667,50.0,106.33333333333333,160.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,592.0,681.0333333333333,27.0,68.0,Gar&K-1975-25mm-11aw,1,0,Gar&K
21,0.12,0.3,1.51,0.006,0.013,0.09,0.07,0.27,0.036,0.15,421.6666666666667,50.0,106.33333333333333,160.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,630.0,681.0333333333333,32.0,76.0,Gar&K-1975-25mm-11ht,1,0,Gar&K
22,0.1,0.41,1.83,0.009,0.014,0.095,0.078,0.3,0.041,0.16,421.6666666666667,70.0,106.33333333333333,190.0,50.0,11.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,610.0,681.0333333333333,35.0,68.0,Gar&K-1975-25mm-12aw,1,0,Gar&K
23,0.1,0.41,1.83,0.009,0.014,0.095,0.078,0.3,0.041,0.16,421.6666666666667,70.0,106.33333333333333,190.0,50.0,11.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,692.0,681.0333333333333,30.0,60.0,Gar&K-1975-25mm-12ht,1,0,Gar&K
24,0.12,0.3,1.4,0.016,0.075,0.14,0.11,0.025,0.005,0.25,421.6666666666667,48.888888888888886,106.33333333333333,150.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,426.0,681.0333333333333,21.0,54.0,Gar&K-1975-25mm-13aw,1,0,Gar&K
25,0.12,0.3,1.4,0.016,0.075,0.14,0.11,0.025,0.005,0.25,421.6666666666667,48.888888888888886,106.33333333333333,150.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,431.0,681.0333333333333,27.0,62.0,Gar&K-1975-25mm-13ht,1,0,Gar&K
26,0.08,0.3,1.35,0.013,0.014,0.03,0.03,0.005,0.046,0.043,420.0,50.0,90.0,230.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,500.0,707.0,23.0,55.0,Gar&K-1975-12mm-14aw,1,0,Gar&K
27,0.08,0.3,1.35,0.013,0.014,0.03,0.03,0.005,0.046,0.043,420.0,50.0,90.0,230.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,522.0,670.0,26.0,63.0,Gar&K-1975-12mm-14ht,1,0,Gar&K
