,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},Weld ID,Electrode Positive,Electrode Negative,Group
58,0.11,0.16,1.09,0.012,0.018,0.03,0.01,0.24,353.0,78.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-20.0,134.0,162.375,Pat-1981-WB3/BX400,1,0,Pat
59,0.11,0.16,1.09,0.012,0.018,0.03,0.01,0.24,353.0,78.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,0.0,138.0,162.375,Pat-1981-WB3/BX400,1,0,Pat
60,0.098,0.18,1.29,0.017,0.017,0.01,0.01,0.21,337.0,61.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,359.0,503.0,28.0,72.0,-30.952380952380953,78.47619047619048,154.0,Pat-1981-S4/BX400,1,0,Pat
61,0.098,0.18,1.29,0.017,0.017,0.01,0.01,0.21,337.0,61.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-60.0,59.0,162.375,Pat-1981-S4/BX400,1,0,Pat
62,0.098,0.18,1.29,0.017,0.017,0.01,0.01,0.21,337.0,61.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-40.0,95.0,162.375,Pat-1981-S4/BX400,1,0,Pat
63,0.098,0.18,1.29,0.017,0.017,0.01,0.01,0.21,337.0,61.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-20.0,128.0,162.375,Pat-1981-S4/BX400,1,0,Pat
64,0.098,0.18,1.29,0.017,0.017,0.01,0.01,0.21,337.0,61.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,0.0,144.0,162.375,Pat-1981-S4/BX400,1,0,Pat
65,0.1,0.24,1.91,0.016,0.016,0.02,0.01,0.05,228.0,74.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,376.0,553.0,33.0,70.0,-30.952380952380953,78.47619047619048,170.0,Pat-1981-S6/BX400,1,0,Pat
66,0.1,0.24,1.91,0.016,0.016,0.02,0.01,0.05,228.0,74.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-60.0,30.0,162.375,Pat-1981-S6/BX400,1,0,Pat
67,0.1,0.24,1.91,0.016,0.016,0.02,0.01,0.05,228.0,74.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-40.0,78.0,162.375,Pat-1981-S6/BX400,1,0,Pat
