Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,-10.0,175.0,,,Ditt-0.5ach2,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,-30.0,152.0,,,Ditt-0.5ach3,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,509.0,610.0,,,,,,,Ditt-0.5r,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,20.0,221.0,,,Ditt-0.5rch1,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,188.0,141.0,,,Ditt-0.5rch2,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,-30.0,141.0,,,Ditt-0.5rch3,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,504.0,612.0,,,,,,,Ditt-iat,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,20.0,233.0,,,Ditt-iatch1,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,-10.0,199.0,,,Ditt-iatch2,,,1,0,Ditt
0.08,0.25,0.8,0.01,0.01,0.03,2.3,1.05,0.01,0.02,,,,,,,,,0.002,0.003,0.001,525.0,30.0,1.0,1.75,210,SA,700.0,20.0,,,,,-30.0,170.0,,,Ditt-iatch3,,,1,0,Ditt
