,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Titanium concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.13,0.17,0.73,0.003,0.008,0.06,2.3,1.0,0.021,0.08,10.0,140.0,10.0,10.0,50.0,20.0,450.0,26.0,1.0,2.8,225,NGSAW,690.0,14.0,437.0,585.0,23.0,Kik-ngsaw,1,0,Kik
1,0.11,0.27,0.65,0.005,0.007,0.02,2.47,1.12,0.012,0.17,10.0,60.0,30.0,10.0,30.0,10.0,277.5,27.0,1.0,1.85,175,NGGMA,690.0,14.0,431.0,570.0,28.0,Kik-nggma,1,0,Kik
